AUTOGENERATE
LOAD
SELECT
TRACE
DISTINCT
FROM
WHERE
JOIN
LEFT JOIN
RIGHT JOIN
INNER JOIN
OUTER JOIN
DROP
NOT
SUB
END
GROUP
BY
INLINE
FIELD
TABLE
AS
IF
ELSE
ELSEIF
ENDIF
THEN
FOR
NEXT
LET
SET
AND
OR
CONCATENATE
NOCONCATENATE
RESIDENT
STORE
INTO
EXIT
SCRIPT
RENAME
TO
CALL
